path,legacyStatus,legacyIndexable,legacyCanonical,legacySitemap,gone,redirect,redirectTarget,survivorDecision,v2State,contentStatus,technicalStatus,source,notes
"/buy-camera-mahasarakam/","REDIRECT","false","/buy-camera-mahasarakam/","false","false","true","/รับซื้อกล้อง/","EXISTING_REDIRECT","REDIRECT","NOT_APPLICABLE","READY","redirects",""
"/buy-camera-nongkai/","REDIRECT","false","/buy-camera-nongkai/","false","false","true","/รับซื้อกล้อง/","EXISTING_REDIRECT","REDIRECT","NOT_APPLICABLE","READY","redirects",""
"/buy-camera-surin/","REDIRECT","false","/buy-camera-surin/","false","false","true","/รับซื้อกล้อง/","EXISTING_REDIRECT","REDIRECT","NOT_APPLICABLE","READY","redirects",""
"/buy-camera-ubon/","ACTIVE","true","/buy-camera-ubon/","true","false","false","","REBUILD_INDEX","INDEX","CONTENT_REQUIRED","READY","survivor-rebuild",""
"/iphone-13-มือสอง-ขายได้กี่บาท/","ACTIVE","false","/iphone-13-มือสอง-ขายได้กี่บาท/","false","false","false","","","HOLD_NOINDEX","LEGACY_CONTENT","READY","legacy-posts",""
"/iphone-14-มือสอง-ขายได้กี่บาท/","ACTIVE","false","/iphone-14-มือสอง-ขายได้กี่บาท/","false","false","false","","","HOLD_NOINDEX","LEGACY_CONTENT","READY","legacy-posts",""
"/legacy-รับซื้อกล้อง-ยโสธร-815/","REDIRECT","false","/legacy-รับซื้อกล้อง-ยโสธร-815/","false","false","true","/รับซื้อกล้อง-ยโสธร/","NEW_REDIRECT","REDIRECT","NOT_APPLICABLE","READY","redirects",""
"/legacy-รับซื้อไอโฟน-มหาสารคาม-851/","REDIRECT","false","/legacy-รับซื้อไอโฟน-มหาสารคาม-851/","false","false","true","/รับซื้อไอโฟน-มหาสารคาม/","NEW_REDIRECT","REDIRECT","NOT_APPLICABLE","READY","redirects",""
"/macbook-เปิดไม่ติด-ขายได้ไหม/","ACTIVE","false","/macbook-เปิดไม่ติด-ขายได้ไหม/","false","false","false","","","HOLD_NOINDEX","LEGACY_CONTENT","READY","legacy-posts",""
"/rab-sue-com/","REDIRECT","false","/rab-sue-com/","false","false","true","/รับซื้อคอม/","","REDIRECT","NOT_APPLICABLE","READY","redirects",""
"/rab-sue-ipad/","REDIRECT","false","/rab-sue-ipad/","false","false","true","/รับซื้อไอแพด/","","REDIRECT","NOT_APPLICABLE","READY","redirects",""
"/rab-sue-iphone/","REDIRECT","false","/rab-sue-iphone/","false","false","true","/รับซื้อไอโฟน/","","REDIRECT","NOT_APPLICABLE","READY","redirects",""
"/rab-sue-klong/","REDIRECT","false","/rab-sue-klong/","false","false","true","/รับซื้อกล้อง/","","REDIRECT","NOT_APPLICABLE","READY","redirects",""
"/rab-sue-lamphong/","REDIRECT","false","/rab-sue-lamphong/","false","false","true","/รับซื้อลำโพง/","","REDIRECT","NOT_APPLICABLE","READY","redirects",""
"/rab-sue-macbook/","REDIRECT","false","/rab-sue-macbook/","false","false","true","/รับซื้อแมคบุ๊ค/","","REDIRECT","NOT_APPLICABLE","READY","redirects",""
"/rab-sue-notebook-bangkok/","ACTIVE","true","/rab-sue-notebook-bangkok/","true","false","false","","","HOLD_NOINDEX","LEGACY_CONTENT","READY","legacy-posts",""
"/rab-sue-notebook-chonburi-2/","ACTIVE","true","/rab-sue-notebook-chonburi-2/","true","false","false","","","HOLD_NOINDEX","LEGACY_CONTENT","READY","legacy-posts",""
"/rab-sue-notebook/","REDIRECT","false","/rab-sue-notebook/","false","false","true","/รับซื้อโน๊ตบุ๊ค/","","REDIRECT","NOT_APPLICABLE","READY","redirects",""
"/rab-sue/","REDIRECT","false","/rab-sue/","false","false","true","/รับซื้อ/","","REDIRECT","NOT_APPLICABLE","READY","redirects",""
"/ก่อนขาย-iphone-ล้างข้อมูล/","ACTIVE","false","/ก่อนขาย-iphone-ล้างข้อมูล/","false","false","false","","","HOLD_NOINDEX","LEGACY_CONTENT","READY","legacy-posts",""
"/ขาย-iphone-ขอนแก่น-ที่ไหนดี-เช็กราคาก่อนขาย/","ACTIVE","false","/ขาย-iphone-ขอนแก่น-ที่ไหนดี-เช็กราคาก่อนขาย/","false","false","false","","","HOLD_NOINDEX","LEGACY_CONTENT","READY","legacy-posts",""
"/ขายกล้องถ่ายรูปที่ให้ร/","ACTIVE","true","/ขายกล้องถ่ายรูปที่ให้ร/","true","false","false","","","HOLD_NOINDEX","LEGACY_CONTENT","READY","legacy-posts",""
"/ขายคอมเก่า-ข้อมูลในเครื่อง-ทำยังไง/","ACTIVE","false","/ขายคอมเก่า-ข้อมูลในเครื่อง-ทำยังไง/","false","false","false","","","HOLD_NOINDEX","LEGACY_CONTENT","READY","legacy-posts",""
"/ขายโน๊ตบุ๊ค-ขอนแก่น/","ACTIVE","true","/ขายโน๊ตบุ๊ค-ขอนแก่น/","true","false","false","","HOLD_NOINDEX","HOLD_NOINDEX","PENDING_REVIEW","READY","survivor-hold",""
"/ขายโน๊ตบุ๊ค-อุบล/","ACTIVE","true","/ขายโน๊ตบุ๊ค-อุบล/","true","false","false","","","HOLD_NOINDEX","LEGACY_CONTENT","READY","legacy-posts",""
"/ขายโน๊ตบุ๊คอุบล-รับซื้/","GONE","false","/ขายโน๊ตบุ๊คอุบล-รับซื้/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
"/จำนำ-notebook-โน๊ตบุ๊ค-อุบลราชธ/","GONE","false","/จำนำ-notebook-โน๊ตบุ๊ค-อุบลราชธ/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
"/จำนำ-ไอโฟน-มือสอง-อุบลรา/","GONE","false","/จำนำ-ไอโฟน-มือสอง-อุบลรา/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
"/จำนำมือถืออุบล/","GONE","false","/จำนำมือถืออุบล/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
"/จำนำอุบล-ใกล้ฉัน/","GONE","false","/จำนำอุบล-ใกล้ฉัน/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
"/จำนำไอโฟน-iphone-อุบล/","GONE","false","/จำนำไอโฟน-iphone-อุบล/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
"/จํา-นํา-โทรศัพท์-อุบล/","GONE","false","/จํา-นํา-โทรศัพท์-อุบล/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
"/ติดต่อเรา/","REDIRECT","false","/ติดต่อเรา/","false","false","true","/contact/","","REDIRECT","NOT_APPLICABLE","READY","redirects",""
"/รับจำนำ-ipad-air-6-อุบลราชธานี/","GONE","false","/รับจำนำ-ipad-air-6-อุบลราชธานี/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
"/รับจำนำ-iphone-จังหวัดยโสธร/","GONE","false","/รับจำนำ-iphone-จังหวัดยโสธร/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
"/รับจำนำ-อุบล/","GONE","false","/รับจำนำ-อุบล/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
"/รับจำนำกล้อง-อุบล/","GONE","false","/รับจำนำกล้อง-อุบล/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
"/รับจำนำกล้องเลนส์-จังหว/","GONE","false","/รับจำนำกล้องเลนส์-จังหว/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
"/รับจำนำของ-อุบลราชธานี-บ/","GONE","false","/รับจำนำของ-อุบลราชธานี-บ/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
"/รับจำนำคอม-จังหวัดอุบลร/","GONE","false","/รับจำนำคอม-จังหวัดอุบลร/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
"/รับจำนำคอม-อุบล/","GONE","false","/รับจำนำคอม-อุบล/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
"/รับจำนำคอมพิวเตอร์จังห/","GONE","false","/รับจำนำคอมพิวเตอร์จังห/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
"/รับจำนำมือถือ-จังหวัดยโ/","GONE","false","/รับจำนำมือถือ-จังหวัดยโ/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
"/รับจำนำมือถืออุบล-2/","GONE","false","/รับจำนำมือถืออุบล-2/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
"/รับจำนำมือถืออุบล/","GONE","false","/รับจำนำมือถืออุบล/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
"/รับจำนำลำโพง-jbl-marshall-ยโสธร/","GONE","false","/รับจำนำลำโพง-jbl-marshall-ยโสธร/","false","true","false","","","GONE","NOT_APPLICABLE","READY","gone-paths.ts",""
