path,state,httpBehavior,indexability,redirectTarget,pageType,contentCluster,p0Note
/,INDEX,200,INDEX,,hub,general,
/10-อันดับ-กล้อง-fujifilm-ในตลาดมือ/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/100-อันดับ-กล้อง-fujifilm-ในตลาดมือ/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1090/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1199/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1209/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1216/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1230/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1340/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1352/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1362/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1477/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1480/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1482/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1494/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1498/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1500/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1502/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1504/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1508/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1511/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1515/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/1517/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,,,
/buy-camera-mahasarakam/,HOLD_NOINDEX,200,NOINDEX,,location,camera,
/buy-camera-nongkai/,HOLD_NOINDEX,200,NOINDEX,,,,
/buy-camera-surin/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อกล้องมือสองสุร/,,,
/buy-camera-ubon/,HOLD_NOINDEX,200,NOINDEX,,,,
/contact/,INDEX,200,INDEX,,static,general,P0: promoted from HOLD_NOINDEX to INDEX so /ติดต่อเรา/ does not redirect to a noindex destination.
/cookie-policy/,HOLD_NOINDEX,200,NOINDEX,,policy,general,
/legacy-รับซื้อกล้อง-ยโสธร-815/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อกล้อง-ยโสธร/,,,
/legacy-รับซื้อไอโฟน-มหาสารคาม-851/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อไอโฟน-มหาสารคาม/,,,
/privacy-policy/,HOLD_NOINDEX,200,NOINDEX,,policy,general,
/rab-sue-com/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อคอม/,,,
/rab-sue-ipad/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อไอแพด/,,,
/rab-sue-iphone/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อไอโฟน/,,,
/rab-sue-klong/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อกล้อง/,,,
/rab-sue-lamphong/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อลำโพง/,,,
/rab-sue-macbook/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อแมคบุ๊ค/,,,
/rab-sue-notebook/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อโน๊ตบุ๊ค/,,,
/rab-sue/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อ/,,,
/terms/,HOLD_NOINDEX,200,NOINDEX,,policy,general,
/ก่อนขาย/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,guide,general,
/ขายโน๊ตบุ๊ค-ขอนแก่น/,HOLD_NOINDEX,200,NOINDEX,,,,
/ขายโน๊ตบุ๊คอุบล-รับซื้/,GONE,410,NOT_INDEXABLE,,,,
/ความน่าเชื่อถือ/,HOLD_NOINDEX,200,NOINDEX,,static,general,
/คู่มือ/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,guide,general,
/จำนำ-notebook-โน๊ตบุ๊ค-อุบลราชธ/,GONE,410,NOT_INDEXABLE,,,,
/จำนำ-ไอโฟน-มือสอง-อุบลรา/,GONE,410,NOT_INDEXABLE,,,,
/จำนำมือถืออุบล/,GONE,410,NOT_INDEXABLE,,,,
/จำนำอุบล-ใกล้ฉัน/,GONE,410,NOT_INDEXABLE,,,,
/จำนำไอโฟน-iphone-อุบล/,GONE,410,NOT_INDEXABLE,,,,
/จํา-นํา-โทรศัพท์-อุบล/,GONE,410,NOT_INDEXABLE,,,,
/ติดต่อเรา/,REDIRECT,301,NOT_INDEXABLE,/contact/,,,
/ผลงานรับซื้อ/,DRAFT,NOT_RELEASED,NOT_INDEXABLE,,trust,general,
/รับจำนำ-ipad-air-6-อุบลราชธานี/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำ-iphone-จังหวัดยโสธร/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำ-อุบล/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำกล้อง-อุบล/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำกล้องเลนส์-จังหว/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำของ-อุบลราชธานี-บ/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำคอม-จังหวัดอุบลร/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำคอม-อุบล/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำคอมพิวเตอร์จังห/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำมือถือ-จังหวัดยโ/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำมือถืออุบล-2/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำมือถืออุบล/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำลำโพง-jbl-marshall-ยโสธร/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำลำโพง-marshall/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำศรีสะเกษ/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำอำนาจเจริญ/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำอุบล-2/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำอุบล/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำแมคบุ๊ค-จังหวัดย/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำโน๊ตบุ๊ค-ยโสธร/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำโน๊ตบุ๊คศรีสะเก/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำโน๊ตบุ๊คอำนาจเจ/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำโน๊ตบุ๊คอุบล/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำไอแพด-จังหวัดยโส/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำไอโฟน-11-รับจำนำ-iphone-11/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำไอโฟน-12-รับจำนำ-iphone-12/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำไอโฟน-13-รับจำนำ-iphone-13/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำไอโฟน-14-รับจำนำ-iphone-14/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำไอโฟน-จังหวัดยโส/,GONE,410,NOT_INDEXABLE,,,,
/รับจำนำไอโฟน-อุบล/,GONE,410,NOT_INDEXABLE,,,,
/รับซื้อ-apple-watch-ใกล้ฉัน/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อ-apple-watch/,,,
/รับซื้อ-apple-watch/,INDEX,200,INDEX,,category,iphone,P0: promoted from HOLD_NOINDEX to INDEX so historical near-me redirect equity lands on an indexable self-canonical owner.
/รับซื้อ-macbook-จังหวัดกาฬสินธ/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อแมคบุ๊ค/,,,
/รับซื้อ-macbook-จังหวัดนครพนม/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อแมคบุ๊ค/,,,
/รับซื้อ-macbook-จังหวัดนครราชส/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อแมคบุ๊ค/,,,
/รับซื้อ-macbook-จังหวัดบุรีรัม/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อแมคบุ๊ค/,,,
/รับซื้อ-macbook-จังหวัดมุกดาหา/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อแมคบุ๊ค/,,,
/รับซื้อ-macbook-จังหวัดร้อยเอ็/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อแมคบุ๊ค/,,,
/รับซื้อ-macbook-จังหวัดสุรินทร/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อแมคบุ๊ค/,,,
/รับซื้อ-macbook-แม็คบุ๊ค-ใกล้ฉั/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อแมคบุ๊ค/,,,
/รับซื้อ-macbook-แม็คบุ๊ค/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อแมคบุ๊ค/,,,
/รับซื้อ-macbook/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อแมคบุ๊ค/,,,
/รับซื้อ-notebook-ชุมแพ-ขอนแก่น/,INDEX,200,INDEX,,location,notebook,
/รับซื้อ-notebook-อำเภอพล-ขอนแก่น/,INDEX,200,INDEX,,location,notebook,
/รับซื้อ-notebook-ใกล้ฉัน/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อโน๊ตบุ๊ค/,,,
/รับซื้อ-ps4-อุบล-play-station-4/,GONE,410,NOT_INDEXABLE,,,,
/รับซื้อ-server/,INDEX,200,INDEX,,category,b2b,
/รับซื้อ-ups/,HOLD_NOINDEX,200,NOINDEX,,category,b2b,
/รับซื้อ-โน๊ตบุ๊คnotebookจังหวั/,GONE,410,NOT_INDEXABLE,,,,
/รับซื้อ-ใกล้ฉัน/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อ/,,,
/รับซื้อ/,INDEX,200,INDEX,,hub,general,
/รับซื้อmacbook-อุดรธานี/,INDEX,200,INDEX,,location,macbook,
/รับซื้อกระดาษ-a4/,GONE,410,NOT_INDEXABLE,,,,
/รับซื้อกล้อง-canon-2/,HOLD_NOINDEX,200,NOINDEX,,,,
/รับซื้อกล้อง-canon/,HOLD_NOINDEX,200,NOINDEX,,,,
/รับซื้อกล้อง-nikon-รับซื้อกล/,HOLD_NOINDEX,200,NOINDEX,,,,
/รับซื้อกล้อง-sony-a6400/,HOLD_NOINDEX,200,NOINDEX,,,,
/รับซื้อกล้อง-sony-a7/,HOLD_NOINDEX,200,NOINDEX,,,,
/รับซื้อกล้อง-sony-rx100/,HOLD_NOINDEX,200,NOINDEX,,,,
/รับซื้อกล้อง-ยโสธร/,INDEX,200,INDEX,,location,camera,
/รับซื้อกล้อง-รับซื้อกล้/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อกล้อง/,,,
/รับซื้อกล้อง-รับซื้อเลน/,HOLD_NOINDEX,200,NOINDEX,,,,
/รับซื้อกล้อง-ใกล้ฉัน/,HOLD_NOINDEX,200,NOINDEX,,,,
/รับซื้อกล้อง-ให้ราคาสูง/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อกล้อง/,,,
/รับซื้อกล้อง/,INDEX,200,INDEX,,category,camera,
/รับซื้อกล้องถ่ายรูป-ศรี/,INDEX,200,INDEX,,location,camera,
/รับซื้อกล้องถ่ายรูป/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อกล้อง/,,,
/รับซื้อกล้องนครราชสีมา/,HOLD_NOINDEX,200,NOINDEX,,,,
/รับซื้อกล้องมือสอง-กาฬ-2/,GONE,410,NOT_INDEXABLE,,,,
/รับซื้อกล้องมือสอง-ขอน-2/,GONE,410,NOT_INDEXABLE,,,,
/รับซื้อกล้องมือสอง-บุรี/,REDIRECT,301,NOT_INDEXABLE,/รับซื้อกล้อง/,,,
/รับซื้อกล้องมือสอง-ร้อ-2/,GONE,410,NOT_INDEXABLE,,,,
/รับซื้อกล้องมือสอง-อำน-2/,GONE,410,NOT_INDEXABLE,,,,
/รับซื้อกล้องมือสองกาฬ/,HOLD_NOINDEX,200,NOINDEX,,,,
/รับซื้อกล้องมือสองขอนแ/,HOLD_NOINDEX,200,NOINDEX,,,,
/รับซื้อกล้องมือสองนครร/,HOLD_NOINDEX,200,NOINDEX,,,,
/รับซื้อกล้องมือสองบึง/,HOLD_NOINDEX,200,NOINDEX,,,,
/รับซื้อกล้องมือสองบุรี/,HOLD_NOINDEX,200,NOINDEX,,,,
/รับซื้อกล้องมือสองมหา/,HOLD_NOINDEX,200,NOINDEX,,,,
/รับซื้อกล้องมือสองมุก/,INDEX,200,INDEX,,location,camera,
/รับซื้อกล้องมือสองมุกด/,HOLD_NOINDEX,200,NOINDEX,,,,
/รับซื้อกล้องมือสองยโสธ/,HOLD_NOINDEX,200,NOINDEX,,,,
