path,legacyGone,v2Gone,v2State,survivorDecision,redirectTarget,legacySource,v2Source,parity,reason
"/รับจำนำไอโฟน-12-รับจำนำ-iphone-12/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับจำนำไอโฟน-13-รับจำนำ-iphone-13/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับจำนำไอโฟน-14-รับจำนำ-iphone-14/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับจำนำไอโฟน-จังหวัดยโส/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับจำนำไอโฟน-อุบล/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อ-ps4-อุบล-play-station-4/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อ-โน๊ตบุ๊คnotebookจังหวั/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อกระดาษ-a4/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อกล้องมือสอง-กาฬ-2/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อกล้องมือสอง-ขอน-2/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อกล้องมือสอง-ร้อ-2/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อกล้องมือสอง-อำน-2/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำกมลาไสย/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำกันทรลั/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำกันทรวิ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำขุขันธ์/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำคำชะอี/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำคำเขื่อ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำจัตุรัส/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำชานุมาน/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำชุมแพ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำท่าบ่อ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำธวัชบุร/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำธาตุพนม/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำนากลาง/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำนางรอง/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำนิคมคำส/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำบ้านผือ/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำบ้านเขว/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำบ้านไผ่/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำปทุมราช/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
"/รับซื้อตั๋วจำนำประโคนช/","YES","YES","GONE","NONE","","src/config/gone-paths.ts","src/config/seo/gone.ts","MATCH","Authoritative legacy 410 quarantined spam/off-topic URL"
